ACCE_ABSORB_COST	Pret Absorbtie: %d
MAP_PATHWAY_FLAME_03	Tara de Foc Batalia Regatului
MAP_PATHWAY_ICE_01	Þara Îngheþatã Bãtãlia Regatelor
MAP_PATHWAY_ICE_02	Taramul Jocului
MAP_PATHWAY_ICE_03	Þara Îngheþatã Bãtãlia Regatelor
MAP_PRIVATE_SHOP_MAP	Piaþã
MAP_SKELTOWER	Turnul Gumsan
MAP_SKIPIA_DUNGEON_01	Grota Exilului
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grota Exilului 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Templul Dragonului
MAP_SKIPIA_DUNGEON_BOSS_1	Temnita Paianjenilor 1
MAP_SKIPIA_DUNGEON_BOSS_2	Temnita Paianjenilor 2
MAP_SKIPIA_DUNGEON_BOSS_3	Temnita Paianjenilor 3
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Temnita Paianjenilor 1
MAP_SPIDERDUNGEON_02	Temnita Paianjenilor 2
MAP_SPIDERDUNGEON_02_1	Temnita Paianjenilor 2
MAP_SPIDERDUNGEON_03	Temnita Paianjenilor 3
MAP_SUNGMAHEE_TOWER_DUNGEON	Turn Sung Mahi
MAP_SUNGMAHEE_TOWER_WAIT	Intrare
MAP_SUNGZI	Batalia Regatului
MAP_SUNGZI_DESERT_01	Desert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_01	Desert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_02	Desert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_03	Desert Batalia Regatului
MAP_SUNGZI_FLAME_HILL_01	Tara de Foc Batalia Regatului
MAP_SUNGZI_FLAME_HILL_02	Tara de Foc Batalia Regatului
MAP_SUNGZI_FLAME_HILL_03	Tara de Foc Batalia Regatului
MAP_SUNGZI_SNOW	Þara Îngheþatã Bãtãlia Regatelor
MAP_SUNGZI_SNOW_PASS01	Þara Îngheþatã Bãtãlia Regatelor
MAP_SUNGZI_SNOW_PASS02	Þara Îngheþatã Bãtãlia Regatelor
MAP_SUNGZI_SNOW_PASS03	Þara Îngheþatã Bãtãlia Regatelor
MAP_T1	Zona de Lupta Breasla
MAP_T2	Zona de Lupta Breasla
MAP_T3	Zona de Lupta Breasla
MAP_T4	Zona de Lupta Breasla
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Muntii Thunder
MAP_TREE	Lungsam
MAP_TRENT	Padurea Fantoma
MAP_TRENT02	Padurea Rosie
MAP_TRENT02_A	Padurea Rosie
MAP_TRENT_A	
MAP_WEDDING_01	Harta Casatoriilor
MAP_WL	Valea Serpilor
MAP_WL_01	Valea Serpilor
MC_ACCUMULATION_COUNT	Carduri Monstru Colectate: %d
MC_ACHIEV_NAME	%s (%d)
MC_ACHIEV_REGIST_ABLE	Îndeplineºti condiþiile pentru misiunea %s (%d stele)
MC_ACHIEV_REGIST_FAIL	Nu poþi obþine o realizare acum.
MC_ACHIEV_REGIST_FAIL_CHECK_COUNT	Nu poþi obþine o realizare. Închide fereastra ºi încearcã din nou.
MC_ACHIEV_REGIST_QUESTION_1	Vrei sã revendici realizarea %s? Pentru a face asta ai nevoie de %d carduri de la respectivii monºtri.
MC_ACHIEV_REGIST_QUESTION_2	Aceastã selecþie nu poate fi anulatã. Doreºti sã continui?
MC_ACHIEV_SHOW_APPLYS	Aratã status
MC_ACHIEV_SHOW_MONSTER	Aratã pozã
MC_ALTER_TEXT	Nivel misiune: %d
MC_CARD_FALL_SHORT	Carduri insuficiente înregistrate.
MC_CARD_SHUFFLE	Vrei sã amesteci cardurile?
MC_INIT_ITEM_FALL_SHORT	Ai nevoie de %d Tichet(e) de Resetare
MC_MISSION_FAIL_MSG	Nicio misiune activã sau limitã depãºitã.
MC_MISSION_INIT	Vrei sã resetezi misiunea la nivel 1?
MC_MISSION_NO_CLEAR	Mai întâi trebuie sã termini prima misiune.
MC_MOTION_BUTTON_OVER_MSG	Opþiunea este disponibilã doar la 2 stele.
MC_POLY_BUTTON_OVER_MSG	Opþiunea este disponibilã doar la 3 stele.
MC_POLY_FAIL	Nu poþi sã te transformi momentan.
MC_POLY_QUESTION	Vrei sã te transformi în acest monstru?
MC_PROMOTION_MAX	Nu se poate avansa mai mult.
MC_PROMOTION_QUESTION	Vrei sã creºti nivelul?
MC_QUESTION_BUTTON_DESC1	Poate fi resetat doar de 6 ori în 24 de ore.
MC_QUESTION_BUTTON_DESC2	Fiecare resetare ulterioarã necesitã mai multe Tichete de Resetare.
MC_QUESTION_BUTTON_DESC3	Apasã aici pentru afiºarea timpului ramas de calmare.
MC_REWARD_FAIL	Nu este destul loc în inventar.
MC_REWARD_MISSION	Doreºti sã colectezi Cardul Monstru acum?
MC_SHUFFLE_NO_ITEM	Nu ai Tichet de Modificare?
MC_TIME	Calmare: %s
MC_TRADE_QUESTION	%d carduri vor fi deduse. Doreºti sã continui?
MC_USE_ITEM_FAIL	Cardul nu poate fi adãugat.
MC_USE_ITEM_QUESTION	Vrei sã adaugi acest Card Monstru?
MC_WARP_BUTTON_OVER_MSG	Opþiunea este disponibilã doar la 4 stele.
MC_WARP_FAIL	Nu te mai poþi teleporta.
MC_WARP_LIMIT_LEVEL	Nivelul tãu actual este insuficient pentru teleportare.
MC_WARP_QUESTION	Vrei sã te teleportezi în regiunea acestui monstru?
MD_POPUP_MSG_1	Poþi intra doar din Templul Zodiac.
MD_POPUP_MSG_2	Gardienii Zodiac au nevoie de recuperare.\nOferã-le puþin timp.
MD_SYSTEM_MSG_1	Nu eºti un zombie. Nu poþi lupa dacã eºti mort.
MEDAL_OF_HONOR	Medalia Vitejiei
MEDAL_OF_HONOR_SYSTEM_PICK	Obiect primit: Medalia Vitejiei x %d
MESSENGER_ADD_BLOCK_FRIEND	Adaugã
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_BLOCK	Blocat
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te-a acceptat ca prieten.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepþi?
MESSENGER_DO_YOU_DELETE	ªterge?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei sã ºtergi numãrul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslã
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Trimite codul de pe telefonul mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Introdu codul
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introdu numãrul de mobil pentru trimiterea SMS-ului.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vrei sã introduci acum numãrul de mobil?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introdu numãrul de mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Trimite mesaj.
METIN_TEST	
MINIGAMEUI_CALENDAR	Calendar Evenimente
MINIGAME_FISH_EVENT_ADD_ACCEPT	Vrei sã adaugi?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Eºti sigur cã doreºti sã arunci acest obiect?
MINIGAME_FISH_EVENT_REWARD_MSG	Ai primit %s.
MINIGAME_FISH_EVENT_USE_ACCEPT	Vrei sã foloseºti asta?
MINIMAP	Deschide mini harta
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afiºatã.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afiºatã.
MINIMAP_DEC_SCALE	Minimeazã
MINIMAP_INC_SCALE	Maximeazã
MINIMAP_OBSERVER_COUNT	%d spectatori
MINIMAP_OPEN_INGAMEEVENT	Evenimente
MINIMAP_SHOW_AREAMAP	Deschide hartã mare
MINI_GAME_BNW_DONATE_QUESTION1	Doreºti sã donezi?
MINI_GAME_BNW_DONATE_QUESTION2	O donaþie costã 15 Monede Profet.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Chiar vrei sã întrerupi jocul?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Nu uita cã vei obþine recompense dacã o sã câºtigi.
MINI_GAME_BNW_GAME_RESULT_DRAW	Extrage! Ai câºtigat %d Monede Profet.
MINI_GAME_BNW_GAME_RESULT_LOSE	Învins! Ai câºtigat %d Monede Profet.
MINI_GAME_BNW_GAME_RESULT_SCORE	Scor: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Victorie! Ai câºtigat %d Monede Profet.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Nu este destul loc în inventar.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Ai nevoie de un Set Tarot pentru a juca.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Nu ai suficient Yang pentru a începe jocul.
MINI_GAME_BNW_RESULT_DRAW1	Numãrul tãu este identic.
MINI_GAME_BNW_RESULT_DRAW2	Extrage!
MINI_GAME_BNW_RESULT_LOSE1	Numãrul tãu este mai mic.
MINI_GAME_BNW_RESULT_LOSE2	Învins!
MINI_GAME_BNW_RESULT_WIN1	Numãrul tãu este mai mare.
MINI_GAME_BNW_RESULT_WIN2	Victorie!
MINI_GAME_BNW_START_QUESTION	Ai nevoie de un Set Tarot ºi 30,000 Yang pentru a juca. Doreºti sã participi la Duelul Profeþilor?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Dacã pariezi multiplu pe %s vei fi recompensat cu acelaºi numãr de cufere.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Pariu maxim: %d Pachete Rege
MINI_GAME_CATCHKING_HELP_MSG1	Pãcat! Valoarea cãrþilor tale este mai micã.\nNu ai obþinut niciun punct. Alege o nouã carte din pachetul tãu.
MINI_GAME_CATCHKING_HELP_MSG2	Bravo! Cãrþile au aceeaºi valoare.\nRândul tãu s-a terminat. Alege o nouã carte din pachetul tãu.
MINI_GAME_CATCHKING_HELP_MSG3	Þine-o tot aºa! Valoarea cãrþii tale este mai mare.\nÎntoarce altã carte.
MINI_GAME_CATCHKING_HELP_MSG4	A fost un [5] în raza cãrþii pe care ai descoperit-o.\nNu ai câºtigat niciun punct. Acum selecteazã Regele [K].
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	Regele a scãpat! Jocul s-a terminat. \nDacã ai adunat cel putin 10 puncte, îþi poþi ridica premiul.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Nu poþi ridica niciun premiu.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	A fost un [5] în apropiere.
MINI_GAME_CATCHKING_START_QUESTION	Pentru un joc trebuie sã plãteºti urmãtoarele: %d Yang ºi %s: %d în plus\nVrei sã joci acum?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Poate prinde urmãtoarea carte: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Poate prinde urmãtoarele cãrþi: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Poate prinde urmãtoarele cãrþi: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Poate prinde urmãtoarele cãrþi: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Poate prinde urmãtoarele cãrþi: [1], [2], [3], [4], [5]\nDacã un alt [5] se aflã în apropierea cãrþilor descoperite,\nrândul tãu se terminã ºi nu vei primi niciun punct.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Poate prinde urmãtoarea carte: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 sau mai mult
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 - 549
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 - 399
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	Câºtigi 10 puncte bonus dacã descoperi toate cãrþile în ºir.
MINI_GAME_GIVEUP_QUESTION	Chiar vrei sã întrerupi jocul? Nu vei primi nicio recompensã.
MINI_GAME_NOTICE_1	Apasã pe 'Aruncã' pentru a determina jucãtorul care începe.
MINI_GAME_NOTICE_10	Ha! Ai învins calculatorul!
MINI_GAME_NOTICE_11	Ghinion! Calculatorul te-a învins.
MINI_GAME_NOTICE_12	Ai avut Yu sau Mo ºi poþi arunca din nou.
MINI_GAME_NOTICE_13	Jocul s-a terminat. Colecteazã recompensa.
MINI_GAME_NOTICE_2	Aruncã Beþe Yut.
MINI_GAME_NOTICE_3	Calculatorul aruncã Beþe Yut pentru a determina jucãtorul care începe.
MINI_GAME_NOTICE_4	Ai egalat sau calculatorul are cel mai mic scor de aruncat. Calculatorul va începe.
MINI_GAME_NOTICE_5	Ai avut cel mai mic scor de aruncare ºi vei începe.
MINI_GAME_NOTICE_6	Aruncarea ta: %s. Mergi înainte %d spaþii.
MINI_GAME_NOTICE_7	Aruncarea ta: %s. Trebuie sã muþi 1 spaþiu înapoi.
MINI_GAME_NOTICE_8	Aruncare: %s
MINI_GAME_NOTICE_9	Este rândul calculatorului.
MINI_GAME_RUMI_DISCARD_QUESTION	Eºti sigur cã doreºti sã laºi acest card?
MINI_GAME_RUMI_EXIT_QUESTION	Doreºti sã termini jocul ºi sã colectezi premiul?\nScorul tãu ºi cãrþile rãmase se vor reseta!
MINI_GAME_RUMI_START_QUESTION	Trebuie sã plãteºti o taxã de %d Yang pentru a juca. Ai nevoie ºi de %d Set(uri) de Carduri.\nDoreºti sã începi jocul?
MINI_GAME_YUTNORI_COM_WIN	Câºtigi ceva, pierzi ceva.
MINI_GAME_YUTNORI_PC_WIN	Cãtre victorie ºi recompensã!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Scor: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Aruncã
MINI_GAME_YUTNORI_RETHROW_POPUP	Norocosule! Este rândul tãu din nou.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Ai nevoie de %d Yang ºi %d Plãci Yut Nori pentru a începe jocul Yut Nori. \n Joci acum?
MINUTE	min
MISTS_ISLAND_BUFF_MSG_01	Energie +2
MISTS_ISLAND_BUFF_MSG_02	Ratã Drop Obiecte +10%
MISTS_ISLAND_BUFF_MSG_03	Putere, Inteligenþã, Vitalitate, Dexteritate +3
MISTS_ISLAND_BUFF_MSG_04	Rata Drop Yang+10%
MISTS_ISLAND_BUFF_MSG_05	Bonusuri Costum +3%
MISTS_ISLAND_INFO_01	Nivelul tãu este prea mic.
MISTS_ISLAND_INFO_02	Nu ai suficient Yang.
MISTS_ISLAND_INFO_03	În prezent, nu are loc nicio luptã.
MISTS_ISLAND_MSG_01	%s a fost distrus de %s!
MISTS_ISLAND_MSG_02	%s a capturat %s!
MISTS_ISLAND_MSG_03	%s a ocupat %s!
MISTS_ISLAND_MSG_04	%s atacã %s!
MISTS_ISLAND_MSG_05	%s a îmbunãtãþit cu succes %s la nivel %d!
MISTS_ISLAND_MSG_06	%s a apãrut pe câmpul de luptã!
MISTS_ISLAND_QUESTION_01	Doreºti sã pãrãseºti Bãtãlia celor Cinci Altare?
MISTS_ISLAND_QUESTION_02	Doreºti sã te teleportezi la altarul atacat recent? \n Cost: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Ocuparea Regatului: %s
MISTS_ISLAND_TOOLTIP_03	Nivel Îmbunãtãþire: +%d
MISTS_ISLAND_TOOLTIP_04	Suport Ocupare: %s
MISTS_ISLAND_TOOLTIP_05	Cucerirea Altarelor
MISTS_ISLAND_TOOLTIP_06	1. Pentru a captura un altar, acesta trebuie mai întâi distrus.
MISTS_ISLAND_TOOLTIP_07	2. Regatul care are cei mai mulþi combatanþi în apropiere dupã 1 minut va captura altarul.
MISTS_ISLAND_TOOLTIP_08	3, Dupã 3 minute, altarul va apãrea în culoarea regatului care l-a capturat.
MISTS_ISLAND_TOOLTIP_09	4. Cu cât un altar a fost controlat mai mult de acelaºi regat, cu atât va fi mai greu de distrus.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sutã de milioane
MONEY_INPUT_DIALOG_SELLPRICE	Preþ de vânzare:
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Anuleazã
MOVE_CHANNEL_NOTICE	Acum eºti conectat la canalul %d.
MOVE_CHANNEL_NOT_MOVE	Nu poþi schimba canalul.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Canale
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi muta obiectul dacã ai deschis un magazin privat.
MUSIC_EMPTY_MUSIC_LIST	Nicio muzicã de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fiºier de muzicã.
NEEFD_REST	Trebuie sã te odihneºti întâi.
NOT_YET_SUPPORT	Nu este suportat.
OPEN_THE_SPECIAL_ACTION_KIT	%s adãugat la emoþii.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poþi activa modul breaslã dacã nu aparþii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poþi folosi configuraþia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sã fi atins minim nivelul %d pentru a activa modul PvP.
PARTY_ANSWER_TIMEOVER	Invitatia a fost respinsa.
PARTY_BONUS_ATTACKER	Valoare atac: +%d	SA
PARTY_BONUS_BERSERKER	Vitezã de atac: +%d	SA
PARTY_BONUS_BUFFER	Durata Skill: +%d	SA
PARTY_BONUS_DEFENDER	Apãrare +%d%%	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	PV recuperat per ucidere +%d%%	SA
PARTY_BONUS_TANKER	Max. PV: +%d	SA
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	 doreºte sã se alãture Grupului.
PARTY_DO_YOU_JOIN	, accepti invitaþia de a intra în grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai înalt primeºte mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toþi membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mãritã de 1,5 ori.	SNA
PARTY_INCREASE_AREA_200	Autonomia grupei mãritã de 2 ori.	SNA
PARTY_LEAVE	Pãrãseºte grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus pentru joc de grupã lung: +%d%%	SA
PARTY_MATCH_CANCEL	Cãutarea grupului pentru %s a fost anulatã.
PARTY_MATCH_FAIL_FULL_MEMBER	Grupul tãu nu mai poate accepta membri.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nu te poþi înregistra pentru aceastã temniþã.
PARTY_MATCH_FAIL_LEVEL	Nivelul tãu este prea mic.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	Membrul %s nu îndeplineºte cerinþele necesare.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Alege mai întâi temniþa.
PARTY_MATCH_FAIL_NOT_LEADER	Doar conducãtorul grupului poate înregistra.
PARTY_MATCH_FAIL_NO_ITEM	Nu ai suficent %s.
PARTY_MATCH_SEARCHING	Cautã
PARTY_MATCH_START	Ai înscris grupul pentru urmãtoarea temniþã: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigã membru al grupei încoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV + PM: +%d%%	SA
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_RK_CATEGORY_CZ_CHICKEN	Ranguri Gardian You
PARTY_RK_CATEGORY_CZ_COW	Ranguri Gardian Chou
PARTY_RK_CATEGORY_CZ_DOG	Ranguri Gardian Xu
PARTY_RK_CATEGORY_CZ_DRAGON	Ranguri Gardian Chen
PARTY_RK_CATEGORY_CZ_HORSE	Ranguri Gardian Wu
PARTY_RK_CATEGORY_CZ_MONKEY	Ranguri Gardian Shen
PARTY_RK_CATEGORY_CZ_MOUSE	Ranguri Gardian Zi
PARTY_RK_CATEGORY_CZ_PIG	Ranguri Gardian Hai
PARTY_RK_CATEGORY_CZ_RABBIT	Ranguri Gardian Mao
PARTY_RK_CATEGORY_CZ_SHEEP	Ranguri Gardian Wei
PARTY_RK_CATEGORY_CZ_SNAKE	Ranguri Gardian Si
PARTY_RK_CATEGORY_CZ_TIGER	Ranguri Gardian Yin
PARTY_SET_ATTACKER	Stabileºte ca atacator.
PARTY_SET_BERSERKER	Stabileºte ca berserker.
PARTY_SET_BUFFER	Stabileºte ca blocant.
PARTY_SET_DEFENDER	Stabileºte ca apãrãtor.
PARTY_SET_NORMAL	Anuleazã setarea.
PARTY_SET_SKILL_MASTER	Stabileºte ca Maestru al Abilitãþii.
PARTY_SET_TANKER	Stabileºte ca luptãtor de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bazã atac atacator +%.0f
PARTY_SKILL_BERSERKER	Viteza de atac berserker +%.0f
PARTY_SKILL_BUFFER	Durata Skill Blocant +%.0f
PARTY_SKILL_DEFENDER	Apãrare ca Apãrãtor +%.0f%%
PARTY_SKILL_HP_REGEN	Regenerare PV +%.0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	Regenerare PV ca Maestru de Abilitãþi +%.0f%%
PARTY_SKILL_SP_REGEN	Regenerare PM +%.0f%%
PARTY_SKILL_TANKER	Max. PV luptator aproape +%.0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei încoace.
PASSIVE_ATTR_ADD_FAIL	Eºec! Bonusurile nu au fost transferate cãtre Spiritul Relicvã.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	Spiritul Relicvã nu mai poate primi bonusuri suplimentare.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Ai nevoie de un Spirit Relicvã pentru clasa ta.
PASSIVE_ATTR_ADD_SUCCESS	Succes! Bonusurile au fost transferate cãtre Spiritul Relicvã.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	Spiritul Relicvã este deja încãrcat.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Niciun Spirit Relicvã nu trebuie încãrcat.
PASSIVE_ATTR_CHARGE_QUESTION	Doreºti sã încarci Spiritul Relicvã?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Timpul relicvei a fost încãrcat la maxim.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Nu poþi face asta pe perioda activãrii.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Încearcã mai târziu.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Ai nevoie de un spirit potrivit pentru asta.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Ai nevoie de un Spirit Relicvã pentru clasa ta.
PASSIVE_JOB_DESTROY_POPUP	Dacã arunci Spiritul Relicvã, acesta va fi distrus. Eºti sigur?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Nu vei mai putea recupera relicva dupã activare.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	Obiectul va fi distrus. Eºti sigur?
PASSIVE_JOB_LEFT_TIME	Timp rãmas: %s
PASSIVE_JOB_MAX_TIME	Timp maxim relicvã: %s
PASSWORD_TITLE	Parola depozit
PET_ATTR_CHANGE_DIALOG_TEXT	Doreºti sã schimbi atributele însoþitorului acum?\nObiectul 'Însoþitor Magic' va fi folosit în acest proces.\nProcesul poate eºua.
PET_ATTR_CHANGE_USE	Acþiunea nu poate avea loc în timp ce atributele însoþitorului sunt modificate.
PET_ATTR_DETERMINE_TYPE1	Însoþitor Tip 1: neîndemânatic. Nu este foarte puternic.\nVei putea sã îi îmbunãtãþeºti abilitãþile.
PET_ATTR_DETERMINE_TYPE2	Însoþitor Tip 2: indiscret. Nu este foarte puternic.\nUn însoþior loial ale cãrui abilitãþi se vor îmbunãtãþi cu timpul.
PET_ATTR_DETERMINE_TYPE3	Însoþitor Tip 3: vioi. Putere medie.\nVei putea sã îi îmbunãtãþeºti abilitãþile.
PET_ATTR_DETERMINE_TYPE4	Însoþitor Tip 4: curajos. Putere medie.\nUn însoþior loial ale cãrui abilitãþi se vor îmbunãtãþi cu timpul.
PET_ATTR_DETERMINE_TYPE5	Însoþitor Tip 5: îndrãzneþ. Puternic.\nVei putea sã îi îmbunãtãþeºti abilitãþile ºi mai mult.
PET_ATTR_DETERMINE_TYPE6	Însoþitor Tip 6: legendar. Puternic.\nUn însoþior loial ale cãrui abilitãþi se vor îmbunãtãþi mai mult cu timpul.
PET_ATTR_DETERMINE_TYPE7	Însoþitor Tip 7: mitic. Foarte puternic.\nVa ajunge în timp la potenþial maxim.
PET_ATTR_DETERMINE_TYPE8	Însoþitor Tip 8: prismatic. Extrem de puternic.\nUn însoþitor loial pe care te vei putea baza mereu.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Nu poþi hrãni însoþitorul în timp ce fereastra de rafinare este deschisã.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Nu poþi modifica atributele unui însoþitor mort.
PET_CAN_NOT_EGG_ITEM_USE	Nu poti deschide Incubatorul in timp ce faci negot, ai deschis depozitul sau un magazin privat.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nu poti pune obiecte sparte in aceasta fereastra.
PET_CAN_NOT_FEED_TYPE	Nu poþi hrãni însoþitorul cu asta. Încearcã altceva.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Insotitorul trebuie sa aiba nivelul %d pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Insotitorul trebuie sa aiba 100% experienta pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Insotitorul a atins deja cel mai inalt grad al evolutiei.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nu poti deschide un magazin privat in timp ce ai chemat insotitorul.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Insotitorul trebuie sa aiba %d zile pentru a-l antrena si promova la urmatorul stadiu de evolutie.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nu poti chema insotitorul deoarece a expirat valabilitatea.
PET_CAN_NOT_USE_BAG	Nu poti folosi Cutia de Transport deoarece insotitorul tau deja a expirat.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Însoþitorul nu are nicio abilitate de resetat.
PET_HATCHING_ACCEPT	Doresti sa iti chemi insotitorul '%s'?
PET_HATCHING_MONEY	Pret: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nu poti avea nicio alta actiune in timp ce Incubatorul este deschis.
PET_INFORMATION_STAGE1	Tânãr
PET_INFORMATION_STAGE2	Sãlbatic
PET_INFORMATION_STAGE3	Curajos
PET_INFORMATION_STAGE4	Eroic
PET_INFO_EXP	Experienta acumulata:
PET_INFO_ITEM_EXP	EXP obiect actual
PET_INFO_NEXT_EXP	Experienta ramasa:
